FID,Observed,Cond,LocalR2,Predicted,Intercept,C1_PublicS,C2_Domesti,C3_Irrigat,C4_Aquacul,C5_Mining_,C6_Thermoe,Residual,StdError,StdErr_Int,StdErrC1_P,StdErrC2_D,StdErrC3_I,StdErrC4_A,StdErrC5_M,StdErrC6_T,StdResid,Source_ID
21,293.490000000000010,3.873215222840000,0.732895374501000,362.215070770000010,-24.473574499500000,0.000239847376223,0.001172159342320,0.001684352432850,8.450667521720000,310.504926262000030,10.445991919700001,-68.725070770000002,84.766663983699999,29.359525566199999,0.000115021805415,0.001335525700130,0.000330576049539,4.837386617290000,100.612960520000000,4.683113777930000,-0.810755874304000,21
22,488.009999999999990,3.512667559710000,0.604081819542000,293.607378604000020,33.012634331400001,0.000146209736370,0.000940777777020,0.001987764104630,10.677097660099999,-9.234417056960000,9.021256042139999,194.402621396000000,88.172314069099997,33.904527481400002,0.000120471965010,0.001412458068720,0.000325188481296,4.407165174520000,62.160225108900001,4.329048134930000,2.204803440270000,22
23,249.650000000000010,4.632998819000000,0.846694639027000,307.333396687000000,18.131124236500000,0.000876060589021,-0.003766445127380,0.004463167519390,10.433155278699999,4.566558412690000,9.285334109090000,-57.683396687299997,83.580348552900006,30.349180193900001,0.000499132905069,0.003627930649840,0.000508924675528,4.612893104680000,10.270425962599999,2.597400038710000,-0.690155014738000,23
24,21.789999999999999,3.357087510260000,0.783493154382000,26.325762530199999,18.134894944999999,0.000410855789083,-0.002590721647870,0.004361871656650,6.871101519750000,20.321999814300000,9.615859420580000,-4.535762530240000,91.174961989200000,27.749748314000001,0.000196178958271,0.001896173502170,0.000499721201375,4.425734626430000,10.996996921599999,2.266423259020000,-0.049747896037300,24
25,6.410000000000000,3.468204091880000,0.630062747211000,27.439432046600000,9.618483937120001,0.000189541978940,0.000901811177927,0.002029199924670,11.321021963400000,56.788420756299999,9.674764289520001,-21.029432046600000,90.764814040800005,29.859889388199999,0.000114881009739,0.001332986879520,0.000307796030141,3.951294919160000,59.782204070200002,4.173989471920000,-0.231691457409000,25
26,86.849999999999994,3.899383932940000,0.773032760005000,97.226896806200003,-0.029157213124200,0.000231513733181,-0.000437885237271,0.003141053062280,3.007586446870000,267.470204125000010,3.849804698590000,-10.376896806200000,25.647855753799998,29.183502990699999,0.000110684463792,0.001326927626130,0.000496236361381,4.042757186240000,116.107369360000010,4.257835707750000,-0.404591202704000,26
27,241.340000000000000,3.770456406740000,0.849851792589000,239.648466200999990,23.661756714900001,0.000110780493466,-0.000374318255899,0.004692271935390,11.047247364600000,-0.758129142428000,10.235895065999999,1.691533798760000,9.672591356650001,27.782461240000000,0.000202571699231,0.001765985693230,0.000535094938768,4.062026421040000,10.298835394199999,2.365039208710000,0.174879071842000,27
28,99.709999999999994,3.916639176710000,0.686344573030000,77.661562329199995,-10.916457181400000,0.000199637939937,0.002021552539480,0.001726554842730,11.083091666200000,198.873164687000010,12.023301801000001,22.048437670799999,88.609940272100005,32.420145317200003,0.000119069243352,0.001369304308570,0.000328507233910,4.974824643450000,86.641410869599994,4.851449647420000,0.248825781883000,28
29,28.370000000000001,5.393935513360000,0.857136283309000,64.346896389099996,19.655012930100000,0.001263453424400,-0.005117163191870,0.004539706175920,10.795120277000001,3.222836358210000,8.168155320710000,-35.976896389099998,92.075256646699998,30.368718725299999,0.000725429487496,0.004483861389170,0.000505333961777,4.624724123960000,10.265707446700000,2.879053265430000,-0.390733598790000,29
30,272.120000000000000,3.432465235970000,0.767829456605000,467.382262970999990,1.457435198040000,0.000287705654099,-0.001792974737290,0.004143997795970,1.340463025610000,46.992486902300001,5.716235747480000,-195.262262971000010,84.620263564900000,32.121398418699997,0.000168807862311,0.001641991048390,0.000525509111220,5.009202479840000,65.030660406300001,4.415545648270000,-2.307511874160000,30
31,104.489999999999990,3.865619493200000,0.675495201067000,125.002866247000000,-7.667596392310000,0.000194926427708,0.002013183198480,0.001752105753390,11.541773795599999,174.905260430000000,11.871469214899999,-20.512866247000002,91.386081014499993,32.138467896900003,0.000118513462374,0.001366657754490,0.000326116945391,4.911346942970000,81.047789122500006,4.702989616750000,-0.224463791633000,31
